"","Transect_id","year","Analysis type","Basal_cm","Canopy_cm","Total_cm","Transect_cm","Code","Status","Full_name","RevBI","FS_BAND","TRT","PctC","Growth_form","Origin","Plant","fullname_old","code_old","fullname_new","code_new","RowNum"
"1","1has1",1997,"entire",4600,0,4600,5000,"grav","live","Gravel","High","FS","Seeded",0,"B",NA,"n","gravel","grav","gravel","grav",1
"2","1has1",1997,"entire",125,0,125,5000,"bare","live","Bare","High","FS","Seeded",0,"B",NA,"n","bare","bare","bare","bare",2
"3","1has1",1997,"entire",59,0,59,5000,"litt","live","Litter","High","FS","Seeded",0,"L",NA,"n","litter","litt","litter","litt",4
"4","1has1",1997,"entire",34,48,82,5000,"wood","live","Wood","High","FS","Seeded",0.96,"L",NA,"n","wood","wood","wood","wood",5
"5","1has1",1997,"entire",19,0,19,5000,"rock","live","Rock","High","FS","Seeded",0,"B",NA,"n","rock","rock","rock","rock",7
"6","1has1",1997,"entire",11,0,11,5000,"root","live","Root","High","FS","Seeded",0,"T",NA,"n","root","root","root","root",10
"7","1has1",1997,"entire",2,259,261,5000,"casp","live","Carex spp.","High","FS","Seeded",5.18,"G",NA,"y","carex spp.","casp","carex spp.","casp",14
"8","1has1",1997,"entire",0,19,19,5000,"gras2","live","Unidentified grass","High","FS","Seeded",0.38,"G",NA,"y","unidentified grass","gras2","unidentified grass","gras2",15
"9","1has1",1997,"entire",0,69,69,5000,"cisp","live","Cirsium spp.","High","FS","Seeded",1.38,"F",NA,"y","cirsium spp.","cisp","cirsium spp.","cisp",20
"10","1has1",1997,"entire",0,1,1,5000,"cisp","dead","Cirsium spp.","High","FS","Seeded",0.02,"F",NA,"y","cirsium spp.","cisp","cirsium spp.","cisp",22
"11","1has1",1998,"entire",3446,0,3446,5000,"grav","live","Gravel","High","FS","Seeded",0,"B",NA,"n","gravel","grav","gravel","grav",29
"12","1has1",1998,"entire",936,0,936,5000,"litt","live","Litter","High","FS","Seeded",0,"L",NA,"n","litter","litt","litter","litt",30
"13","1has1",1998,"entire",354,0,354,5000,"bare","live","Bare","High","FS","Seeded",0,"B",NA,"n","bare","bare","bare","bare",31
"14","1has1",1998,"entire",44,356,400,5000,"casp","live","Carex spp.","High","FS","Seeded",7.12,"G",NA,"y","carex spp.","casp","carex spp.","casp",33
"15","1has1",1998,"entire",36,34,70,5000,"wood","live","Wood","High","FS","Seeded",0.68,"L",NA,"n","wood","wood","wood","wood",34
"16","1has1",1998,"entire",19,0,19,5000,"rock","live","Rock","High","FS","Seeded",0,"B",NA,"n","rock","rock","rock","rock",38
"17","1has1",1998,"entire",6,0,6,5000,"root","live","Root","High","FS","Seeded",0,"T",NA,"n","root","root","root","root",40
"18","1has1",1998,"entire",6,17,23,5000,"gras","live","Unidentified grass","High","FS","Seeded",0.34,"G",NA,"y","unidentified grass","gras","unidentified grass","gras",41
